file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,6
style.css,2,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,35
style.css,3,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,24
style.css,4,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,0
style.css,5,css,9d63f709,Gahnxd,2023-09-01,15:50:29,+07:00,2023-09-01T15:50:29+07:00,0,0
style.css,6,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,5
style.css,7,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,33
style.css,8,css,b99d1c51,Gahnxd,2023-09-01,12:59:57,+07:00,2023-09-01T12:59:57+07:00,0,0
style.css,9,css,b99d1c51,Gahnxd,2023-09-01,12:59:57,+07:00,2023-09-01T12:59:57+07:00,0,0
style.css,10,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,5
style.css,11,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,44
style.css,12,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,43
style.css,13,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,1
style.css,14,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,24
style.css,15,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,16
style.css,16,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,19
style.css,17,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,12
style.css,18,css,9d63f709,Gahnxd,2023-09-01,15:50:29,+07:00,2023-09-01T15:50:29+07:00,0,0
style.css,19,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,0
style.css,20,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,14
style.css,21,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,18
style.css,22,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,11
style.css,23,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,11
style.css,24,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,14
style.css,25,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,13
style.css,26,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,0
style.css,27,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,0
style.css,28,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,3
style.css,29,css,67a0bce7,Gahn Wuwong,2025-03-19,16:57:22,-07:00,2025-03-19T16:57:22-07:00,0,15
style.css,30,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,0
style.css,31,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,0
style.css,32,css,2cf2d4c8,Gahnxd,2023-09-02,12:09:23,+07:00,2023-09-02T12:09:23+07:00,0,3
